transaction_id,merchant_display_name,txn_status_name,acquirer_name,issuer_name,payment_mode_id,payment_mode_name,card_type_association_name,amount,is_aggregator,is_reversal,transaction_start_date_time,txn_refund_amt,batch_id,transaction_id,batch_id,nodal_account_bank,actual_txn_amount,refund_amount,bank_charge_amount,mdr_charge,mdr_tax,platform_fee,mard_amount,additonal_taxes,bank_commision,bank_service_tax,amount_to_be_deducted_in_addition_to_bank_charges,is_not_on_sell_rate,convenience_fees_amt_in_paise,convenience_fees_additional_amt_in_paise,settlement_amount,sds,sdscycle,program_name,axis_payout_created,payout_status,payout_nodal_acc
508606849,IRCTC E-ticketing,PARTIALLY REFUNDED,WOLF_HDFC,,10,UPI,,187,TRUE,FALSE,15/01/25,55,366205676,508606849,126672,HDFC,187.25,0,187.25,0,0,0,0,0,0,0,0,FALSE,,,187.25,N,PG,UPI,16/01/25,PAID,AXIS
508691979,OPPOMobile India ,CAPTURED,KOTAK_SETU,,10,UPI,,35,TRUE,FALSE,15/01/25,0,366206296,508691979,126672,HDFC,35,0,35,0.7,0.7,0,0,0,0,0,0,FALSE,,,34.3,N,PG,UPI,16/01/25,PAID,AXIS
508839440,IRCTC E-ticketing,PARTIALLY REFUNDED,WOLF_HDFC,,10,UPI,,81,TRUE,FALSE,15/01/25,10,366207602,508839440,126672,HDFC,81.8,0,81.8,0,0,0,0,0,0,0,0,FALSE,,,81.8,N,PG,UPI,16/01/25,PAID,AXIS
508903551,IRCTC E-ticketing,PARTIALLY REFUNDED,WOLF_HDFC,,10,UPI,,339,TRUE,FALSE,15/01/25,125,366210408,508903551,126672,HDFC,339.05,-125.36,339.05,0,0,0,0,0,0,0,0,FALSE,,,213.69,N,PG,UPI,16/01/25,PAID,AXIS
508960892,Yeppe.in,CAPTURED,WOLF_HDFC,,10,UPI,,9996,TRUE,FALSE,15/01/25,0,366218744,508960892,126672,HDFC,9996.44,0,9996.44,10,11.8,0,0,1,0,0,10,FALSE,,,9984.64,N,PG,UPI,16/01/25,PAID,AXIS
508972268,Yeppe.in,CAPTURED,WOLF_HDFC,,10,UPI,,500,TRUE,FALSE,15/01/25,0,366221140,508972268,126672,HDFC,500,0,500,0.5,0.5,0,0,0,0,0,0,FALSE,,,499.5,N,PG,UPI,16/01/25,PAID,AXIS
508584878,IRCTC E-ticketing,CAPTURED,WOLF_HDFC,,10,UPI,,668,TRUE,FALSE,15/01/25,0,366205463,508584878,126672,HDFC,668.6,0,668.6,0,0,0,0,0,0,0,0,FALSE,,,668.6,N,PG,UPI,16/01/25,PAID,AXIS
508996816,IRCTC E-ticketing,CAPTURED,WOLF_HDFC,,10,UPI,,1989,TRUE,FALSE,15/01/25,0,366227427,508996816,126672,HDFC,1989.05,0,1989.05,0,0,0,0,0,0,0,0,FALSE,,,1989.05,N,PG,UPI,16/01/25,PAID,AXIS
508998842,IRCTC E-ticketing,CAPTURED,WOLF_HDFC,,10,UPI,,1324,TRUE,FALSE,15/01/25,0,366228203,508998842,126672,HDFC,1324.05,0,1324.05,0,0,0,0,0,0,0,0,FALSE,,,1324.05,N,PG,UPI,16/01/25,PAID,AXIS
509000050,IRCTC E-ticketing,PARTIALLY REFUNDED,WOLF_HDFC,,10,UPI,,2343,TRUE,FALSE,15/01/25,2255,366228643,509000050,126672,HDFC,2343.6,0,2343.6,0,0,0,0,0,0,0,0,FALSE,,,2343.6,N,PG,UPI,16/01/25,PAID,AXIS
508841058,Yeppe.in,CAPTURED,WOLF_HDFC,,10,UPI,,246,TRUE,FALSE,15/01/25,0,366207635,508841058,126672,HDFC,246.21,0,246.21,0.25,0.25,0,0,0,0,0,0,FALSE,,,245.96,N,PG,UPI,16/01/25,PAID,AXIS
